pair,cat_set,an_set,formula,score
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.30Pb0.22)2(S1.00)3,-0.1572515634193717
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.30Pb0.24)2(S1.00)3,-0.1436191589361222
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.30Pb0.22)2(S1.00)3,-0.1572515634193717
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.30Pb0.16)2(S1.00)3,-0.19775071709895303
51-50-82 × 16,51-50-82,16,(Sb0.40Sn0.30Pb0.30)2(S1.00)3,-0.10459089334438687
51-50-82 × 16,51-50-82,16,(Sb0.50Sn0.20Pb0.30)2(S1.00)3,-0.15623706241026786
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.30Pb0.26)2(S1.00)3,-0.13025163842718496
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.24Pb0.30)2(S1.00)3,-0.13556193942304845
51-50-82 × 16,51-50-82,16,(Sb0.46Sn0.30Pb0.24)2(S1.00)3,-0.1436191589361222
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
51-50-82 × 16,51-50-82,16,(Sb0.78Sn0.04Pb0.18)2(S1.00)3,-0.25703445096603245
51-50-82 × 16,51-50-82,16,(Sb0.52Sn0.18Pb0.30)2(S1.00)3,-0.16575988658855606
51-50-82 × 16,51-50-82,16,(Sb0.56Sn0.14Pb0.30)2(S1.00)3,-0.18477991453856207
51-50-82 × 16,51-50-82,16,(Sb0.63Sn0.18Pb0.18)2(S1.00)3,-0.2301556253751142
51-50-82 × 16,51-50-82,16,(Sb0.68Sn0.02Pb0.30)2(S1.00)3,-0.22762993969761763
51-50-82 × 16,51-50-82,16,(Sb0.54Sn0.16Pb0.30)2(S1.00)3,-0.17524639771923395
51-50-82 × 16,51-50-82,16,(Sb0.68Sn0.16Pb0.16)2(S1.00)3,-0.24059365576257413
51-50-82 × 16,51-50-82,16,(Sb0.44Sn0.30Pb0.26)2(S1.00)3,-0.13025163842718496
51-50-82 × 16,51-50-82,16,(Sb0.48Sn0.22Pb0.30)2(S1.00)3,-0.14594877092929343
